QUARTER,YEAR,VESSEL,CRUISE,TYPE,STA_ID_LET,STA_ID_NUM,SEQ_NUM,HAUL,PRED_SPECN,PRED_NODC,PRED_LH,PRED_LEN,PRED_SEX,PREY_NODC,PREY_LH,PREY_SZ1,PREY_SZ2,PREY_SZ3,EMPTY_1,PREY_SEX,HAULJOIN,PREDJOIN,PREYLENJOIN
3,1990,19,199001,9,0,0,1077,130,10,8791030401,8,70,2,6187010302,7,12.5,0,0,0,3,11011568,2462092,10946210
3,1990,19,199001,9,0,0,1078,130,10,8791030401,8,70,2,6187010302,7,13.3,0,0,0,1,11011568,2462092,10946211
3,1990,19,199001,9,0,0,1079,130,10,8791030401,8,70,2,6187010302,7,12.5,0,0,0,1,11011568,2462092,10946212
3,1990,19,199001,9,0,0,1080,130,10,8791030401,8,70,2,6187010302,7,12.5,0,0,0,2,11011568,2462092,10946213
3,1990,19,199001,9,0,0,1081,130,11,8791030401,7,65,1,6187010302,7,25.4,0,0,0,1,11011568,2462093,10946214
3,1990,19,199001,9,0,0,1082,130,11,8791030401,7,65,1,6187010302,7,39,0,0,0,2,11011568,2462093,10946215
3,1990,19,199001,9,0,0,1083,130,11,8791030401,7,65,1,6187010302,7,26.7,0,0,0,2,11011568,2462093,10946216
3,1990,19,199001,9,0,0,1084,130,11,8791030401,7,65,1,6187010302,7,25.1,0,0,0,3,11011568,2462093,10946217
3,1990,19,199001,9,0,0,1085,130,11,8791030401,7,65,1,6187010302,7,27.7,0,0,0,3,11011568,2462093,10946218
3,1990,19,199001,9,0,0,1086,130,11,8791030401,7,65,1,6187010302,7,24.6,0,0,0,1,11011568,2462093,10946219
3,1990,19,199001,9,0,0,1087,130,12,8791030401,8,59,2,6187010302,7,17.8,0,0,0,3,11011568,2462094,10946220
3,1990,19,199001,9,0,0,1088,130,13,8791030401,8,51,2,6187010302,7,16.4,0,0,0,2,11011568,2462095,10946221
3,1990,19,199001,9,0,0,1089,130,13,8791030401,8,51,2,6187010302,7,18.2,0,0,0,1,11011568,2462095,10946222
3,1990,19,199001,9,0,0,1090,130,13,8791030401,8,51,2,8842120000,C,83,0,0,0,3,11011568,2462095,10946223
3,1990,19,199001,9,0,0,1091,130,15,8791030401,8,49,2,8857040601,7,42,0,0,0,3,11011568,2462097,10946224
3,1990,19,199001,9,0,0,1092,130,15,8791030401,8,49,2,8842120000,C,20,0,0,0,3,11011568,2462097,10946225
2,1993,90,199301,9,0,0,0,5,7,8791030401,0,57,1,6187010302,7,19,0,0,0,2,11012577,2456584,10946226
2,1993,90,199301,9,0,0,0,5,7,8791030401,0,57,1,6187010302,7,19,0,0,0,2,11012577,2456584,10946226
2,1993,90,199301,9,0,0,0,5,7,8791030401,0,57,1,6187010302,7,18,0,0,0,2,11012577,2456584,10946227
2,1993,90,199301,9,0,0,0,5,7,8791030401,0,57,1,6187010302,7,18,0,0,0,2,11012577,2456584,10946227
2,1993,90,199301,9,0,0,0,5,7,8791030401,0,57,1,6187010302,7,18,0,0,0,2,11012577,2456584,10946228
2,1993,90,199301,9,0,0,0,5,7,8791030401,0,57,1,6187010302,7,18,0,0,0,2,11012577,2456584,10946228
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,2,11012577,2456585,10946229
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,2,11012577,2456585,10946229
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,2,11012577,2456585,10946230
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,2,11012577,2456585,10946230
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,1,11012577,2456585,10946231
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,1,11012577,2456585,10946231
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,18,0,0,0,1,11012577,2456585,10946232
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,18,0,0,0,1,11012577,2456585,10946232
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,16,0,0,0,2,11012577,2456585,10946233
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,16,0,0,0,2,11012577,2456585,10946233
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,18,0,0,0,1,11012577,2456585,10946234
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,18,0,0,0,1,11012577,2456585,10946234
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,2,11012577,2456585,10946235
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,17,0,0,0,2,11012577,2456585,10946235
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,18,0,0,0,2,11012577,2456585,10946236
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,18,0,0,0,2,11012577,2456585,10946236
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,21,0,0,0,2,11012577,2456585,10946237
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,21,0,0,0,2,11012577,2456585,10946237
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,15,0,0,0,2,11012577,2456585,10946238
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,15,0,0,0,2,11012577,2456585,10946238
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,20,0,0,0,2,11012577,2456585,10946239
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,20,0,0,0,2,11012577,2456585,10946239
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,23,0,0,0,2,11012577,2456585,10946240
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,23,0,0,0,2,11012577,2456585,10946240
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,19,0,0,0,1,11012577,2456585,10946241
2,1993,90,199301,9,0,0,0,5,8,8791030401,0,57,2,6187010302,7,19,0,0,0,1,11012577,2456585,10946241
2,1993,90,199301,9,0,0,0,5,9,8791030401,0,52,2,6187010302,7,17,0,0,0,1,11012577,2456586,10946242
2,1993,90,199301,9,0,0,0,5,9,8791030401,0,52,2,6187010302,7,17,0,0,0,1,11012577,2456586,10946242
