"","Year","Predator","WEP_age","M_t","M_N"
"1",1990,"ATF","1",700594.06,10080490047.2662
"2",1990,"ATF","2",579518.5,2237523160.54054
"3",1990,"ATF","3+",827121.18,1298463394.01256
"4",1990,"ATF","0",69689.12,6278298849.81982
"5",1993,"ATF","1",1032821.81,14860745431.1223
"6",1993,"ATF","2",478277.69,1846632005.15444
"7",1993,"ATF","3+",1006581.03,1580189993.34537
"8",1993,"ATF","0",70442.66,6346185579.72973
"9",1996,"ATF","1",1703144.62,24505677918.964
"10",1996,"ATF","2",610151.48,2355797210.29344
"11",1996,"ATF","3+",1679112.96,2635970104.52276
"12",1996,"ATF","0",90667.87,8168276844.23423
"13",1999,"ATF","1",490797.63,7061836341.29496
"14",1999,"ATF","2",226942.5,876225884.702703
"15",1999,"ATF","3+",730426.54,1146666463.63108
"16",1999,"ATF","0",26534.2,2390468617.47748
"17",2001,"ATF","1",990685.38,14254465915.7266
"18",2001,"ATF","2",616502.89,2380320054.00386
"19",2001,"ATF","3+",2252876.18,3536697299.68289
"20",2001,"ATF","0",61143.26,5508402167.83784
"21",2003,"ATF","1",802117.23,11541255115.7986
"22",2003,"ATF","2",722754.81,2790559101.23938
"23",2003,"ATF","3+",3357871.03,5271383087.42857
"24",2003,"ATF","0",66070,5952252161.53153
"25",2005,"ATF","1",467858.05,6731770489.39568
"26",2005,"ATF","2",568863.92,2196385786.72973
"27",2005,"ATF","3+",2247174.97,3527747202.3124
"28",2005,"ATF","0",43472.54,3916444703.69369
"29",2007,"ATF","1",560451.46,8064049849.42446
"30",2007,"ATF","2",827386.36,3194541943.06564
"31",2007,"ATF","3+",1956943.49,3072124781.59341
"32",2007,"ATF","0",49337.99,4444863984.86487
"33",2009,"ATF","1",333924.57,4804670077.59712
"34",2009,"ATF","2",562407.61,2171457964.66795
"35",2009,"ATF","3+",722451.24,1134146367.64992
"36",2009,"ATF","0",26764.87,2411249540.18018
"37",2011,"ATF","1",323908.8,4660558219.51079
"38",2011,"ATF","2",645930.13,2493938732.9305
"39",2011,"ATF","3+",527941.66,828793814.896389
"40",2011,"ATF","0",26823.2,2416504736.48649
"41",2013,"ATF","1",372148.99,5354661723.89928
"42",2013,"ATF","2",859437.67,3318292162.52896
"43",2013,"ATF","3+",729020.33,1144458912.89953
"44",2013,"ATF","0",39278.29,3538584932.7027
"45",2015,"ATF","1",226959.46,3265603677.07914
"46",2015,"ATF","2",516214.68,1993106857.47104
"47",2015,"ATF","3+",872137.89,1369133260.78493
"48",2015,"ATF","0",36134.31,3255342828.46847
"49",2017,"ATF","1",203986.02,2935050672.99281
"50",2017,"ATF","2",311095.11,1201139427.31274
"51",2017,"ATF","3+",1639375.17,2573587398.23234
"52",2017,"ATF","0",45716.45,4118598689.54955
"53",2019,"ATF","1",123180.05,1772374789.07914
"54",2019,"ATF","2",101705.52,392685395.694981
"55",2019,"ATF","3+",1711817.54,2687311687.37049
"56",2019,"ATF","0",33906.05,3054599309.72973
"57",1990,"PC","2",31442.81,121400795.131274
"58",1990,"PC","0",8470.19,763079828.288288
"59",1990,"PC","3+",72538.88,113875795.078493
"60",1990,"PC","1",18611.46,267790776.258993
"61",1993,"PC","2",82437.03,318289700.266409
"62",1993,"PC","0",2189.21,197225710.630631
"63",1993,"PC","3+",955637.94,1500216553.96703
"64",1993,"PC","1",37098.16,533786511.021583
"65",1996,"PC","2",26115.62,100832494.737452
"66",1996,"PC","0",370.15,33347098.9189189
"67",1996,"PC","3+",858539.7,1347786028.09105
"68",1996,"PC","1",14290.79,205622923.438849
"69",1999,"PC","2",13055.8,50408504.6447876
"70",1999,"PC","0",160.84,14489964.4144144
"71",1999,"PC","3+",745578.1,1170452270.73783
"72",1999,"PC","1",10045.21,144535338.820144
"73",2001,"PC","2",4247.98,16401485.9382239
"74",2001,"PC","0",45.78,4124141.44144144
"75",2001,"PC","3+",58109.62,91223886.455259
"76",2001,"PC","1",2532.97,36445661.9856115
"77",2003,"PC","2",112811.65,435566226.938224
"78",2003,"PC","0",1675.66,150959964.504505
"79",2003,"PC","3+",284478.51,446591066.918367
"80",2003,"PC","1",51874.58,746396826.733813
"81",2005,"PC","2",61843.5,238778010.644788
"82",2005,"PC","0",2152.29,193899657.567568
"83",2005,"PC","3+",38463.55,60382332.6703297
